exp,title,edu,salary,area
1-3年,python爬虫工程师,大专,8000-15000元/月,北京
3-5年,PHP/Python 高级开发工程师,本科,面议,北京
3-5年,python开发工程师,大专,15001-20000元/月,北京
不限,Python大数据,不限,15001-20000元/月,北京
3-5年,C++开发工程师（Python/Lua方向）,本科,6000-12000元/月,北京
3-5年,python爬虫工程师,本科,12000-20000元/月,北京
1-3年,Python开发工程师（外派万达）,大专,10001-15000元/月,上海
3-5年,python开发,本科,10001-15000元/月,北京
1-3年,Python工程师（基础设施）,本科,6001-8000元/月,深圳
1-3年,python测试开发工程师,本科,10001-15000元/月,北京
3-5年,高级python工程师,本科,18000-35000元/月,深圳
3-5年,python开发工程师(Odoo,大专,8000-16000元/月,上海
5-10年,Python高级后台工程师,本科,10000-20000元/月,成都
无经验,Python工程师双休+五险,不限,6001-8000元/月,武汉
不限,Python工程师,大专,2001-4000元/月,成都
1-3年,Python开发工程师,大专,6001-8000元/月,成都
不限,Python工程师,大专,6001-8000元/月,成都
不限,python开发实习生（西安）(职位编号：ZY,本科,2001-4000元/月,西安
3-5年,Python开发工程师,本科,10000-18000元/月,成都
不限,python开发实习生（西安）(职位编号：ZY,本科,1000-2000元/月,西安
1-3年,python开发工程师,大专,6000-10000元/月,广州
1-3年,Python数据工程师,不限,8001-10000元/月,西安
不限,Python实习生,大专,4001-6000元/月,武汉
1-3年,Python 初级工程,本科,4001-6000元/月,成都
不限,Python后端工程师(职位编号：09,本科,6000-12000元/月,西安
3-5年,Python爬虫工程师,大专,15000-25000元/月,北京
5-10年,Python爬虫开发工程师,本科,15000-30000元/月,成都
不限,Python开发工程师,不限,7000-14000元/月,武汉
3-5年,python中高级开发工程师,本科,10001-15000元/月,成都
3-5年,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验",本科,15001-20000元/月,西安
1-3年,Python 中级工程师,本科,8001-10000元/月,成都
不限,Python开发工程师,大专,4001-6000元/月,成都
3-5年,python工程师,本科,10001-15000元/月,成都
3-5年,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验",本科,15001-20000元/月,大连
3-5年,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验",本科,15001-20000元/月,武汉
不限,高级Python开发工程师,不限,10000-20000元/月,成都
1-3年,Python数据工程师,本科,7000-8000元/月,成都
1-3年,Python后端研发工程师,本科,6000-10000元/月,西安
3-5年,Python工程师,不限,5000-10000元/月,西安
不限,python开发助理,大专,4001-6000元/月,武汉
不限,Python开发工程师/BAT团队/绩效奖金,本科,10001-15000元/月,成都
3-5年,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验",本科,15001-20000元/月,长春
3-5年,Python后端工程师,本科,6000-10000元/月,武汉
3-5年,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验",本科,15001-20000元/月,成都
不限,Python开发工程师,不限,4001-6000元/月,成都
不限,python开发工程师,大专,10001-15000元/月,成都
3-5年,Sr.python automation TE（高级自动化测试）-西安-01960,不限,10001-15000元/月,西安
不限,Python数据分析实习生,大专,3500-6000元/月,武汉
不限,Python开发工程师,不限,5500-7000元/月,西安
不限,Python web工程师,不限,3000-5000元/月,长春
不限,python工程师,大专,4001-6000元/月,武汉
不限,Python开发工程师,大专,8001-10000元/月,武汉
1-3年,python开发工程师-西安-02568,本科,8000-12000元/月,西安
1-3年,OpenERP/Odoo python开发工程师,本科,10000-14000元/月,成都
不限,Python工程师助理,大专,2001-4000元/月,成都
1-3年,python后端工程师,本科,8001-10000元/月,成都
3-5年,爬虫开发工程师（Python/Java）,本科,8000-15000元/月,成都
1-3年,python自动化测试或开发,本科,面议,成都
不限,Python工程师,大专,2001-4000元/月,成都
salary,exp,area,edu,title
8000-16000元/月,3-5年,上海,大专,python开发工程师(Odoo
8000-15000元/月,1-3年,北京,大专,python爬虫工程师
面议,3-5年,广州,大专,高薪诚聘：C/C++/Python开发经验(金融IT
面议,3-5年,广州,大专,高薪诚聘：Python/系统运维工程师(金融IT
面议,3-5年,深圳,大专,高薪诚聘：Python/系统运维工程师(金融IT
面议,3-5年,深圳,大专,高薪诚聘：C/C++/Python开发经验(金融IT
15000-27000元/月,不限,北京,大专,python工程师--中级/高级
15000-25000元/月,不限,北京,不限,Python开发工程师
15001-20000元/月,1-3年,深圳,大专,python开发工程师
面议,3-5年,北京,本科,高级开发工程师-Python/Java/Go(023404)(职位编号：JD023404
15000-30000元/月,3-5年,北京,本科,Python开发工程师
13000-26000元/月,不限,北京,不限,python开发工程师
8001-10000元/月,1-3年,北京,本科,Python爬虫工程师
15000-25000元/月,3-5年,北京,本科,c/Python工程师
4001-6000元/月,不限,西安,大专,软件开发工程师-技术储备（Java/Python） 双休+4k-6k
6001-8000元/月,不限,成都,大专,Python工程师
4001-6000元/月,不限,深圳,大专,python/Web开发工程师
10000-20000元/月,不限,北京,不限,Python开发工程师
10001-15000元/月,1-3年,深圳,大专,PHP/Python开发工程师
5000-10000元/月,不限,成都,不限,Python软件开发工程师
6001-8000元/月,3-5年,成都,本科,python工程师(机器学习
10000-12000元/月,1-3年,成都,本科,Python工程师
10001-15000元/月,1-3年,成都,本科,Python自动化测试工程师
10001-15000元/月,3-5年,成都,本科,python开发工程师
10000-20000元/月,3-5年,成都,本科,Python开发工程师
8001-10000元/月,不限,武汉,大专,爬虫（Java/python）工程师
10001-15000元/月,不限,成都,不限,python运维开发工程师
6000-12000元/月,不限,大连,不限,软件研发工程师（Python脚本开发）
8001-10000元/月,1-3年,成都,本科,Python 存储开发工程师
8001-10000元/月,不限,成都,本科,Python 数据挖掘工程师（互联网银行）
5000-10000元/月,不限,武汉,不限,python开发工程师
10000-20000元/月,不限,武汉,不限,python开发经理
6000-10000元/月,1-3年,成都,本科,Python 开发工程师，年薪7-12万
8000-16000元/月,1年以下,武汉,大专,Python程序员
10001-15000元/月,1-3年,成都,本科,Python工程师
8000-16000元/月,3-5年,成都,本科,Python开发工程师
6001-8000元/月,1-3年,大连,本科,python web开发工程师
8001-10000元/月,1-3年,武汉,大专,Python 中级工程师
8000-15000元/月,1-3年,成都,本科,Python后端开发工程师
10001-15000元/月,3-5年,成都,本科,python工程师
6001-8000元/月,不限,成都,不限,Python Developer Python开发工程师
10000-20000元/月,3-5年,武汉,本科,python工程师
3500-6000元/月,不限,武汉,大专,python开发助理 双休
4001-6000元/月,不限,武汉,大专,应届Python助理
2001-4000元/月,无经验,武汉,不限,Python爬虫工程师兼职/实习
8001-10000元/月,1-3年,武汉,本科,Python开发工程师
4000-8000元/月,不限,成都,大专,python开发工程师/实习工程师
6001-8000元/月,不限,武汉,不限,python开发工程师
10001-15000元/月,不限,成都,本科,爬虫工程师（Python）
6000-12000元/月,1-3年,成都,本科,气象卫星遥感应用开发/c++/java/Python/Fortran
6000-12000元/月,不限,成都,本科,"高级Web研发工程师(Java,Python)J10699"
2001-4000元/月,1年以下,西安,大专,软件开发工程师-技术储备（Java/Python） 双休
8001-10000元/月,1-3年,武汉,大专,Python Web开发工程师
2001-4000元/月,不限,成都,本科,Python开发工程师
6000-10000元/月,1-3年,武汉,本科,Python爬虫工程师
10001-15000元/月,3-5年,西安,本科,诚聘Python讲师+课时费+项目分红+奖金+
8000-15000元/月,不限,成都,不限,Python开发工程师
8000-15000元/月,3-5年,成都,本科,课研部主管兼培训讲师（Python方向）
8000-16000元/月,3-5年,成都,本科,高级python开发工程师
5000-8000元/月,1-3年,武汉,大专,Python开发工程师
1000-2000元/月,无经验,武汉,本科,python开发实习生
10000-15000元/月,1-3年,成都,本科,python爬虫工程师
5000-10000元/月,1-3年,成都,本科,Python高级开发(职位编号：2
5000-10000元/月,1-3年,武汉,大专,python工程师
4000-7000元/月,1-3年,长春,本科,Python开发工程师
4001-6000元/月,不限,成都,大专,Python 工程师【可学历落户成都】
9000-17000元/月,3-5年,武汉,本科,资深python工程师
6000-12000元/月,不限,成都,不限,Python研发工程师
10001-15000元/月,不限,成都,不限,Python工程师
8001-10000元/月,不限,西安,不限,python开发工程师
6001-8000元/月,1-3年,成都,本科,Python开发工程师
4001-6000元/月,无经验,武汉,大专,Python实习生
8000-15000元/月,3-5年,西安,大专,软件开发工程师（Python语言技能良好者优先）
4001-6000元/月,1年以下,武汉,大专,python开发助理（可实习）
4000-8000元/月,1-3年,成都,不限,开发工程师（Java、C++、Python）
20001-30000元/月,3-5年,成都,不限,Python开发工程师
2001-4000元/月,不限,成都,大专,Python工程师
3000-4000元/月,无经验,成都,本科,Python开发实习生
4001-6000元/月,不限,西安,大专,软件开发工程师-技术储备（Java/Python） 双休+4k-6k
10001-15000元/月,不限,上海,不限,Python开发工程师
9000-15000元/月,1-3年,广州,本科,Python开发工程师（Lopo-Iot）
15000-25000元/月,3-5年,北京,本科,高级python算法工程师
25000-35000元/月,5-10年,北京,不限,资深python开发构架工程师
10000-20000元/月,3-5年,广州,本科,Python高级开发工程师
9000-18000元/月,不限,北京,不限,服务器后端开发（Python、C++）
10000-18000元/月,1年以下,上海,本科,Python软件工程师
15000-30000元/月,3-5年,深圳,本科,Python
8001-10000元/月,1-3年,北京,本科,Python爬虫开发工程师
20000-40000元/月,3-5年,深圳,本科,高级Python后端工程师
10000-18000元/月,3-5年,深圳,大专,Python开发
10000-20000元/月,1-3年,北京,本科,Python开发工程师
6001-8000元/月,不限,广州,不限,Python开发工程师
6001-8000元/月,1-3年,北京,大专,Python/Golang/Linux C/中高级研发工程师
8000-15000元/月,3-5年,广州,大专,Python工程师
10000-20000元/月,不限,北京,不限,python后端开发
15000-25000元/月,3-5年,北京,本科,Python爬虫开发工程师
9000-15000元/月,1-3年,广州,本科,Python开发工程师（国家平台）
15001-20000元/月,3-5年,深圳,不限,Python／PHP 语言开发工程师-YL(职位编号：hdfc000539
8000-16000元/月,3-5年,天津,本科,Python
13000-18000元/月,5-10年,广州,本科,Python高级开发工程师
20000-35000元/月,3-5年,广州,大专,资深Python工程师
12000-20000元/月,3-5年,上海,本科,"高级系统分析师（C++,Python）"
10001-15000元/月,3-5年,上海,本科,高级python开发工程师
10001-15000元/月,1-3年,上海,硕士,金融数据分析师（Python、SQL、R）
6000-12000元/月,不限,广州,大专,python工程师（应届生可接受）
15000-30000元/月,3-5年,深圳,不限,手游服务器主程序  python
5000-10000元/月,不限,深圳,不限,python开发工程师
20000-35000元/月,3-5年,深圳,大专,资深Python工程师
18000-30000元/月,不限,广州,本科,Python开发工程师
7000-12000元/月,不限,广州,不限,python开发
15001-20000元/月,不限,北京,本科,Python高级研发工程师
15000-30000元/月,1-3年,上海,本科,资深Python开发工程师
18000-25000元/月,1-3年,广州,大专,Python工程师
10001-15000元/月,不限,上海,不限,python开发工程师
10000-20000元/月,3-5年,北京,本科,Python开发工程师
20001-30000元/月,3-5年,上海,不限,高级python开发
6000-12000元/月,1-3年,上海,大专,Python后端工程师
18000-25000元/月,1-3年,深圳,大专,Python工程师
10000-20000元/月,不限,北京,大专,Python web应用开发程序员
15001-20000元/月,3-5年,上海,大专,python讲师
6001-8000元/月,不限,北京,大专,python 开发工程师
10001-15000元/月,1-3年,深圳,本科,Python Web开发工程师
20001-30000元/月,3-5年,深圳,大专,python工程师
10000-20000元/月,1-3年,深圳,本科,Python开发工程师
5000-8000元/月,不限,广州,不限,python开发工程师
8001-10000元/月,不限,上海,大专,python研发人员
9000-16000元/月,1-3年,北京,本科,Python工程师
10000-12000元/月,不限,上海,不限,Python开发工程师
10001-15000元/月,不限,北京,不限,python工程师
10000-20000元/月,不限,北京,不限,Python爬虫工程师
8000-16000元/月,1-3年,北京,硕士,Python爬虫工程师
10001-15000元/月,3-5年,北京,本科,python开发工程师
6001-8000元/月,1-3年,天津,本科,python爬虫工程师
5000-10000元/月,1-3年,深圳,本科,python工程师
10000-20000元/月,不限,北京,本科,python研发工程师
6001-8000元/月,不限,深圳,大专,Python开发工程师
10000-20000元/月,5-10年,成都,本科,Python高级后台工程师
2001-4000元/月,不限,成都,大专,Python工程师
6001-8000元/月,1-3年,成都,大专,Python开发工程师
1000-2000元/月,不限,西安,本科,python开发实习生（西安）(职位编号：ZY
2001-4000元/月,不限,西安,本科,python开发实习生（西安）(职位编号：ZY
10000-18000元/月,3-5年,成都,本科,Python开发工程师
7000-8000元/月,1-3年,成都,本科,Python数据工程师
10001-15000元/月,3-5年,成都,本科,python工程师
6000-12000元/月,不限,西安,本科,Python后端工程师(职位编号：09
4001-6000元/月,不限,武汉,大专,Python实习生
8001-10000元/月,1-3年,西安,不限,Python数据工程师
15000-30000元/月,5-10年,成都,本科,Python爬虫开发工程师
4001-6000元/月,1-3年,成都,本科,Python 初级工程
7000-14000元/月,不限,武汉,不限,Python开发工程师
10001-15000元/月,3-5年,成都,本科,python中高级开发工程师
10001-15000元/月,不限,成都,本科,Python开发工程师/BAT团队/绩效奖金
10000-20000元/月,不限,成都,不限,高级Python开发工程师
8001-10000元/月,1-3年,成都,本科,Python 中级工程师
15001-20000元/月,3-5年,西安,本科,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验"
4001-6000元/月,不限,成都,大专,Python开发工程师
15001-20000元/月,3-5年,大连,本科,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验"
15001-20000元/月,3-5年,武汉,本科,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验"
15001-20000元/月,3-5年,成都,本科,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验"
6000-10000元/月,1-3年,西安,本科,Python后端研发工程师
5000-10000元/月,3-5年,西安,不限,Python工程师
15001-20000元/月,3-5年,长春,本科,"赴日软件开发 java,C/C++,.NET,Python,bigdata 3年以上经验"
4001-6000元/月,不限,武汉,大专,python开发助理
4001-6000元/月,1年以下,西安,本科,软件开发工程师-技术储备（Java/Python） 西安
8001-10000元/月,1-3年,成都,本科,Python开发工程师
10001-15000元/月,1-3年,西安,本科,Python开发工程师
8001-10000元/月,3-5年,武汉,本科,Python爬虫工程师
4001-6000元/月,无经验,西安,大专,储备岗-Python开发工程师/实习生（双休+五险一金）
10000-18000元/月,3-5年,西安,本科,Python后台开发工程师
6000-12000元/月,3-5年,武汉,不限,中级Python开发工程师(职位编号：BGI002984
10000-20000元/月,3-5年,成都,本科,Python开发工程师
8000-12000元/月,1-3年,武汉,本科,python开发工程师
5000-8000元/月,1-3年,大连,本科,python研发工程师（高端网络技术）
3000-6000元/月,不限,大连,不限,python网站开发工程师远程工作
6001-8000元/月,1-3年,成都,不限,Python开发工程师（Linux）
10000-18000元/月,3-5年,武汉,本科,C++/python开发工程师
3000-6000元/月,不限,武汉,大专,Python开发工程师
6000-10000元/月,3-5年,武汉,本科,Python后端工程师
4001-6000元/月,不限,成都,不限,Python开发工程师
4001-6000元/月,不限,武汉,大专,python工程师
3500-6000元/月,不限,武汉,大专,Python数据分析实习生
5500-7000元/月,不限,西安,不限,Python开发工程师
10001-15000元/月,3-5年,西安,不限,Sr.python automation TE（高级自动化测试）-西安-01960
8000-12000元/月,1-3年,西安,本科,python开发工程师-西安-02568
10001-15000元/月,不限,成都,大专,python开发工程师
3000-5000元/月,不限,长春,不限,Python web工程师
8001-10000元/月,不限,武汉,大专,Python开发工程师
10000-14000元/月,1-3年,成都,本科,OpenERP/Odoo python开发工程师
面议,1-3年,成都,本科,python自动化测试或开发
8001-10000元/月,1-3年,成都,本科,python后端工程师
8000-15000元/月,3-5年,成都,本科,爬虫开发工程师（Python/Java）
2001-4000元/月,不限,成都,大专,Python工程师助理
2001-4000元/月,不限,成都,大专,Python工程师
3000-4000元/月,不限,成都,不限,Python实习生
15001-20000元/月,3-5年,北京,本科,python高级软件工程师-爬虫方向
15000-30000元/月,3-5年,深圳,本科,python高级开发工程师
15000-30000元/月,不限,上海,不限,Python工程师（爬虫）
10001-15000元/月,1-3年,北京,大专,北大青鸟中心Python讲师/教员
10000-20000元/月,不限,上海,不限,开发工程师Python（C）
15000-30000元/月,1-3年,上海,本科,Python工程师（爬虫）
10001-15000元/月,不限,上海,不限,Python爬虫工程师 /数据采集工程师
15000-25000元/月,5-10年,北京,本科,Python项目经理
30001-50000元/月,5-10年,上海,本科,资深爬虫工程师--Python
10000-20000元/月,1-3年,深圳,本科,后台开发工程师（python ）(职位编号：crland003482
6001-8000元/月,不限,广州,本科,Python软件工程师
14000-28000元/月,3-5年,北京,本科,python工程师
15001-20000元/月,5-10年,上海,本科,Python开发工程师（外派）
20000-35000元/月,不限,上海,不限,高级Python工程师
10001-15000元/月,3-5年,北京,本科,Python开发工程师-北京-02618
12000-24000元/月,3-5年,北京,本科,python开发工程师
6001-8000元/月,1-3年,上海,大专,Python开发
15001-20000元/月,3-5年,北京,本科,Python数据开发工程师
15001-20000元/月,1-3年,上海,不限,Python开发工程师-上海-02633
15001-20000元/月,1-3年,北京,本科,Python开发工程师
18000-25000元/月,3-5年,北京,本科,Python/Django web开发工程师
面议,1-3年,深圳,大专,Python开发
面议,3-5年,深圳,大专,python
8001-10000元/月,不限,北京,大专,Python开发工程师
10001-15000元/月,3-5年,北京,本科,python工程师(职位编号：enn001600
2500-4500元/月,不限,上海,不限,python爬虫实习生
4001-6000元/月,无经验,上海,不限,python开发实习生
4001-6000元/月,不限,深圳,大专,Python开发工程师
12000-17000元/月,1-3年,上海,本科,Python开发工程师
10001-15000元/月,不限,广州,本科,初级Python开发工程师
20001-30000元/月,不限,北京,本科,python开发—大住宿事业部
面议,3-5年,北京,本科,PHP/Python 高级开发工程师
15001-20000元/月,不限,上海,不限,Python开发工程师
6000-12000元/月,3-5年,北京,本科,C++开发工程师（Python/Lua方向）
15001-20000元/月,不限,北京,不限,Python大数据
15001-20000元/月,3-5年,北京,大专,python开发工程师
15000-25000元/月,3-5年,北京,大专,Python爬虫工程师
6000-10000元/月,1-3年,广州,大专,python开发工程师
12000-20000元/月,3-5年,北京,本科,python爬虫工程师
10001-15000元/月,1-3年,上海,大专,Python开发工程师（外派万达）
6001-8000元/月,1-3年,深圳,本科,Python工程师（基础设施）
10001-15000元/月,3-5年,北京,本科,python开发
10001-15000元/月,1-3年,北京,本科,python测试开发工程师
18000-35000元/月,3-5年,深圳,本科,高级python工程师
